count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
7355,E,2022,2022-04-27,10,8,Yorkshire and The Humber,159,Sheffield,A6135,Major,LA Boundary,A6102,438500,384860,53.35924072,-1.42298234,6.9,4.29,2,1,444,16,93,18,0,1,0,1,0,20,574
7380,N,2022,2022-06-28,7,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,9,2,247,3,58,8,1,8,0,0,2,19,329
7380,S,2022,2022-06-28,13,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,5,6,567,5,136,15,5,12,0,0,14,46,760
7380,S,2022,2022-06-28,17,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,11,6,828,23,90,6,0,7,0,0,1,14,961
7380,S,2022,2022-06-28,7,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,11,2,220,2,53,4,1,7,0,0,7,19,296
7380,N,2022,2022-06-28,15,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,4,4,587,3,180,13,0,9,0,0,8,30,804
7380,N,2022,2022-06-28,18,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,8,7,763,6,95,1,0,0,0,0,2,3,874
7380,N,2022,2022-06-28,17,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,6,10,721,3,134,4,0,6,1,2,4,17,885
7380,S,2022,2022-06-28,16,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,6,2,772,3,133,18,3,13,0,0,7,41,951
7380,S,2022,2022-06-28,8,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,9,2,485,7,121,11,1,5,0,0,6,23,638
7380,S,2022,2022-06-28,10,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,7,2,541,11,186,21,2,7,0,0,12,42,782
7380,N,2022,2022-06-28,11,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,5,0,446,5,194,23,1,8,1,0,15,48,693
